TEAM,HEA,AAA,AEA,WR,CP
MC,0.84,1.64,0.54,73.33,1.69
ARS,1.10,1.76,0.51,71.88,1.70
MU,0.45,1.11,1.21,60.00,1.42
NU,0.56,1.37,0.59,51.61,1.38
TOT,1.04,1.37,1.22,50.00,1.20
AVL,0.99,0.93,0.86,46.88,1.15
BRI,0.84,1.70,0.96,48.28,1.22
LIV,0.72,1.10,0.98,45.16,1.17
BRE,0.89,0.99,1.02,31.25,0.99
FUL,1.15,1.23,0.84,41.94,1.05
CHE,0.73,0.76,0.80,32.26,0.91
CRY,0.99,0.93,0.82,28.13,0.84
WOL,0.99,0.66,0.98,28.13,0.77
BOU,1.20,0.55,1.57,28.13,0.75
WU,1.10,0.70,0.84,29.03,0.79
LEE,1.57,1.04,1.26,21.88,0.66
EVE,1.04,0.55,1.02,18.75,0.63
NOT,1.04,0.38,1.53,18.75,0.61
LEI,1.10,0.60,1.37,25.00,0.63
SOU,1.57,0.66,1.02,18.75,0.54
